date,open,high,low,close,volume,trading_value,change_rate,foreign_net,institution_net
2017-07-20,62253,64358,61752,64158,68169,0,3.5591,0,0
2017-07-21,64157,65560,63556,65261,44082,0,1.7192,0,0
2017-07-24,64658,64758,62754,62955,22900,0,-3.5335,0,0
2017-07-25,62954,64257,62954,63356,24920,0,0.637,0,0
2017-07-26,64157,65761,63756,65261,48466,0,3.0068,0,0
2017-07-27,65260,66263,64157,65963,40838,0,1.0757,0,0
2017-07-28,66061,66463,63957,65361,22196,0,-0.9126,0,0
2017-07-31,65260,66061,63655,64961,24227,0,-0.612,0,0
2017-08-01,64758,68769,62553,66464,77008,0,2.3137,0,0
2017-08-02,66563,69069,66463,67366,44676,0,1.3571,0,0
2017-08-03,68166,70272,67064,69872,44945,0,3.72,0,0
2017-08-04,69269,70572,68769,70374,19601,0,0.7185,0,0
2017-08-07,70272,70272,66061,66063,22369,0,-6.1258,0,0
2017-08-08,66563,67365,65661,66163,14047,0,0.1514,0,0
2017-08-09,65961,66162,64658,65662,12208,0,-0.7572,0,0
2017-08-10,65661,65761,61551,63958,28834,0,-2.5951,0,0
2017-08-11,63556,63957,62152,63356,7005,0,-0.9412,0,0
2017-08-14,62954,64157,60548,60850,16696,0,-3.9554,0,0
2017-08-16,61150,61752,59245,60048,24151,0,-1.318,0,0
2017-08-17,60247,61049,59446,60750,18600,0,1.1691,0,0
2017-08-18,60347,60849,59546,60650,311224,0,-0.1646,0,0
2017-08-21,60047,62553,60047,61050,15257,0,0.6595,0,0
2017-08-22,61651,61752,60849,61552,9597,0,0.8223,0,0
2017-08-23,62052,62052,59947,60048,16355,0,-2.4435,0,0
2017-08-24,60548,60548,59346,59847,11447,0,-0.3347,0,0
2017-08-25,60147,60147,59546,59547,9836,0,-0.5013,0,0
2017-08-28,59346,59847,59044,59146,8429,0,-0.6734,0,0
2017-08-29,58744,59144,57140,57843,17421,0,-2.203,0,0
2017-08-30,57641,57741,54734,55136,79985,0,-4.6799,0,0
2017-08-31,55436,55535,54133,54435,35400,0,-1.2714,0,0
2017-09-01,54734,55035,52127,52730,87253,0,-3.1322,0,0
2017-09-04,51024,55535,50924,55336,55025,0,4.9422,0,0
2017-09-05,55436,55436,50122,50424,126079,0,-8.8767,0,0
2017-09-06,50424,51225,49922,50324,22548,0,-0.1983,0,0
2017-09-07,50424,50624,48819,48921,35415,0,-2.7879,0,0
2017-09-08,49020,49321,45712,46415,78783,0,-5.1225,0,0
2017-09-11,46714,47616,45411,46916,39160,0,1.0794,0,0
2017-09-12,46915,47516,46313,47016,21108,0,0.2131,0,0
2017-09-13,46815,47516,46112,46415,13289,0,-1.2783,0,0
2017-09-14,46613,48418,46513,47918,18960,0,3.2382,0,0
2017-09-15,47616,49421,47115,49422,29064,0,3.1387,0,0
2017-09-18,49621,49621,48518,49121,13155,0,-0.609,0,0
2017-09-19,49020,51024,48719,51026,26949,0,3.8782,0,0
2017-09-20,51024,51326,48619,51227,25494,0,0.3939,0,0
2017-09-21,51225,51225,50022,50825,12135,0,-0.7847,0,0
2017-09-22,50924,52428,50323,51727,24667,0,1.7747,0,0
2017-09-25,52227,52328,50022,50124,21384,0,-3.099,0,0
2017-09-26,49922,52829,49621,52730,43493,0,5.1991,0,0
2017-09-27,52729,53492,50768,51096,22098,0,-3.0988,0,0
2017-09-28,51313,51313,48262,49571,24193,0,-2.9846,0,0
2017-09-29,49569,50768,49569,50115,11259,0,1.0974,0,0
2017-10-10,51095,52293,50441,52186,14322,0,4.1325,0,0
2017-10-11,52184,52511,50768,51967,15899,0,-0.4197,0,0
2017-10-12,51967,53056,51422,52730,7100,0,1.4682,0,0
2017-10-13,53056,53056,52184,52839,6579,0,0.2067,0,0
2017-10-16,53056,55670,52402,54582,15918,0,3.2987,0,0
2017-10-17,53928,55452,53709,55127,11726,0,0.9985,0,0
2017-10-18,55344,55344,53165,53166,11229,0,-3.5572,0,0
2017-10-19,53165,53709,52402,53384,9381,0,0.41,0,0
2017-10-20,53600,53600,52293,53166,3921,0,-0.4084,0,0
2017-10-23,53165,53492,51857,53275,9827,0,0.205,0,0
2017-10-24,52402,52511,50441,50551,28164,0,-5.1131,0,0
2017-10-25,50768,51204,50223,50878,14316,0,0.6469,0,0
2017-10-26,50877,50877,49788,50442,13021,0,-0.857,0,0
2017-10-27,50114,51204,50114,51205,9857,0,1.5126,0,0
2017-10-30,51204,51313,50551,50661,8932,0,-1.0624,0,0
2017-10-31,50877,51748,50441,51423,14488,0,1.5041,0,0
2017-11-01,51640,52075,50768,51531,14394,0,0.21,0,0
2017-11-02,51748,52293,51748,52294,15992,0,1.4807,0,0
2017-11-03,52184,52184,50985,51205,12807,0,-2.0825,0,0
2017-11-06,51313,51422,50006,51423,12745,0,0.4257,0,0
2017-11-07,50877,50877,49569,49898,93150,0,-2.9656,0,0
2017-11-08,49461,49461,49025,49244,10694,0,-1.3107,0,0
2017-11-09,49352,50006,48480,48482,12692,0,-1.5474,0,0
2017-11-10,48589,48698,48153,48482,8674,0,0.0,0,0
